a	aa
sally	s ae l II
salt	s OO l T
sam	s ae m
same	s ee m
samples	s ae m p aa l z
sand	s ae n D
sand's	s ae n D z
sandcastle	s ae n D k ae s aa l
sandeep	s ae n D II p
sands	s ae n D z
sandwiches	s ae n D w ii c ii z
sandy	s ae n D II
sang	s ae ng
sanjay	s ae n j ee
sank	s ae ng k
sankalp	s ae ng k aa p
sanskar	s ae n s k AA r
santali	s AA n T AA l II
santosh	s AA n T AA sh
sarah	s ex r aa
sat	s ae T
satisfaction	s ae T aa s f ae k sh aa n
satisfy	s ae T aa s f ay
saturday	s ae T aa r D II
sauce	s OO s
savannah	s aa v ae n aa
save	s ee v
saved	s ee v D
saving	s ee v ii ng
saw	s OO
say	s ee
saying	s ee ii ng
says	s ex z
scales	s k ee l z
scamper	s k ae m p aa r
scampered	s k ae m p aa r D
scan	s k ae n
scanned	s k ae n D
scanner	s k ae n aa r
scape	s k ee p
scapes	s k ee p s
scar	s k AA r
scarce	s k ex r s
scarcely	s k ex r s l II
scare	s k ex r
scared	s k ex r D
scares	s k ex r z
scarily	s k ex r aa l II
scaring	s k ex r ii ng
scart	s k AA r T
scary	s k ex r II
scatter	s k ae T aa r
scattered	s k ae T aa r D
scene	s II n
scenes	s II n z
scent	s ex n T
scheme	s k II m
school	s k UU l
schools	s k UU l z
schumaker	sh UU m ee k aa r
schumaker's	sh UU m ee k aa r z
science	s ay aa n s
scientifically	s ay aa n T ii f ii k aa l II
scientist	s ay aa n T ii s T
scientists	s ay aa n T ii s T s
scold	s k oo l D
scoop	s k UU p
scooped	s k UU p T
scope	s k oo p
scored	s k OO r D
scornfully	s k OO r n f aa l II
scouting	s k aw T ii ng
scratch	s k r ae c
scratched	s k r ae c T
scratching	s k r ae c ii ng
scream	s k r II m
screamed	s k r II m D
screaming	s k r II m ii ng
screams	s k r II m z
screen	s k r II n
script	s k r ii p T
scrub	s k r aa b
scrubs	s k r aa b z
se	s aw th II s T
sea	s II
seagull	s II g aa l
seagulls	s II g aa l z
seahorse	s II hh OO r s
seal	s II l
seals	s II l z
search	s aa r c
searched	s aa r c T
searching	s aa r c ii ng
seashells	s II sh ex l z
seaside	s II s ay D
season	s II z aa n
seat	s II T
seaweed	s II w II D
second	s ex k aa n D
seconds	s ex k aa n D z
secret	s II k r aa T
secrets	s II k r aa T s
see	s II
seed	s II D
seedless	s II D l aa s
seeds	s II D z
seeing	s II ii ng
seek	s II k
seeking	s II k ii ng
seem	s II m
seemed	s II m D
seems	s II m z
seen	s II n
sees	s II z
seized	s II z D
select	s aa l ex k T
selected	s aa l ex k T aa D
selection	s aa l ex k sh aa n
self	s ex l f
selfish	s ex l f ii sh
sell	s ex l
selling	s ex l ii ng
selves	s ex l v z
sen	s ex n
send	s ex n D
sending	s ex n D ii ng
sense	s ex n s
senses	s ex n s ii z
sent	s ex n T
sentence	s ex n T aa n s
separate	s ex p aa r ii T
separated	s ex p aa r ee T aa D
separates	s ex p aa r ii T s
serious	s ii r II aa s
seriously	s ii r II aa s l II
servant	s aa r v aa n T
servants	s aa r v aa n T s
serve	s aa r v
served	s aa r v D
servent	s aa r v aa n T
service	s aa r v aa s
serving	s aa r v ii ng
session	s ex sh aa n
set	s ex T
sets	s ex T s
setting	s ex T ii ng
settle	s ex T aa l
settled	s ex T aa l D
settlement	s ex T aa l m aa n T
seven	s ex v aa n
seventeenth	s ex v aa n T II n th
several	s ex v r aa l
sew	s oo
sexy	s ex k s II
shabbily	sh ae b aa l II
shade	sh ee D
shadow	sh ae D oo
shaggy	sh ae g II
shakes	sh ee k s
shall	sh ae l
shame	sh ee m
shape	sh ee p
shapes	sh ee p s
sharapova	sh aa r p AA v aa
share	sh ex r
shared	sh ex r D
sharing	sh ex r ii ng
shark	sh AA r k
sharks	sh AA r k s
sharp	sh AA r p
sharpshooter	sh AA r p sh UU T aa r
shave	sh ee v
shawl	sh OO l
she	sh II
she's	sh II z
shed	sh ex D
sheep	sh II p
sheepish	sh II p ii sh
sheepishly	sh II p ii sh l II
sheer	sh ii r
sheets	sh II T s
shelf	sh ex l f
shell	sh ex l
shells	sh ex l z
shelter	sh ex l T aa r
shelves	sh ex l v z
shepherd	sh ex p aa r D
shift	sh ii f T
shine	sh ay n
shinely	sh ay n l II
shines	sh ay n z
shining	sh ay n ii ng
shiny	sh ay n II
ship	sh ii p
shipping	sh ii p ii ng
ships	sh ii p s
shirt	sh aa r T
shivanna	sh ii v ae n aa
shiver	sh ii v aa r
shock	sh AA k
shocked	sh AA k T
shod	sh AA D
shoe	sh UU
shoemaker	sh UU m ee k aa r
shoes	sh UU z
shone	sh oo n
shoot	sh UU T
shooted	sh UU T ii D
shooter	sh UU T aa r
shooting	sh UU T ii ng
shop	sh AA p
shopkeeper	sh AA p k II p aa r
shopkeepers	sh AA p k II p aa r z
shopped	sh AA p T
shopping	sh AA p ii ng
shops	sh AA p s
shore	sh OO r
short	sh OO r T
shortage	sh OO r T aa j
shortened	sh OO r T aa n D
shorter	sh OO r T aa r
shorting	sh OO r T ii ng
shorts	sh OO r T s
shot	sh AA T
should	sh uu D
shoulder	sh oo l D aa r
shoulders	sh oo l D aa r z
shouldn't	sh uu D aa n T
shout	sh aw T
shouted	sh aw T aa D
shouting	sh aw T ii ng
shouts	sh aw T s
shovel	sh aa v aa l
show	sh oo
showed	sh oo D
showing	sh oo ii ng
shown	sh oo n
showroom	sh oo r uu m
shows	sh oo z
shree	sh r II
shrieked	sh r II k T
shrill	sh r ii l
shrinivas	sh r ii n II v aa z
shrink	sh r ii ng k
shrubs	sh r aa b z
shrugged	sh r aa g D
shut	sh aa T
shy	sh ay
siberia	s ay b ii r II aa
siberian	s ay b ii r II aa n
sick	s ii k
side	s ay D
sides	s ay D z
sigh	s ay
sighed	s ay D
sight	s ay T
sights	s ay T s
sign	s ay n
signs	s ay n z
sil	s ii l
silence	s ay l aa n s
silent	s ay l aa n T
silk	s ii l k
silky	s ii l k II
sill	s ii l
silliness	s ii l II n aa s
silly	s ii l II
silver	s ii l v aa r
sim	s ii m
simba	s ii m b aa
simba's	s ii m b aa z
simple	s ii m p aa l
simply	s ii m p l II
sin	s ii n
since	s ii n s
sing	s ii ng
singh	s ii ng
singing	s ii ng ii ng
single	s ii ng g aa l
sink	s ii ng k
sip	s ii p
sipping	s ii p ii ng
sir	s aa r
sister	s ii s T aa r
sisters	s ii s T aa r z
sit	s ii T
site	s ay T
sits	s ii T s
sitting	s ii T ii ng
situation	s ii c UU ee sh aa n
situations	s ii c UU ee sh aa n z
six	s ii k s
sixteen	s ii k s T II n
sixth	s ii k s th
size	s ay z
sized	s ay z D
sizes	s ay z aa z
skates	s k ee T s
skid	s k ii D
skidded	s k ii D aa D
skids	s k ii D z
skill	s k ii l
skilled	s k ii l D
skillfully	s k ii l f aa l II
skills	s k ii l z
skin	s k ii n
skipping	s k ii p ii ng
skirt	s k aa r T
skit	s k ii T
sky	s k ay
slap	s l ae p
slapped	s l ae p T
sleep	s l II p
sleeping	s l II p ii ng
sleepy	s l II p II
sleeve	s l II v
slept	s l ex p T
slice	s l ay s
slide	s l ay D
slides	s l ay D z
slight	s l ay T
slightly	s l ay T l II
slim	s l ii m
slimy	s l ay m II
slip	s l ii p
slipped	s l ii p T
slipt	s l ii p T
slope	s l oo p
sloths	s l aa th s
slow	s l oo
slowed	s l oo D
slowly	s l oo l II
sly	s l ay
small	s m OO l
smaller	s m OO l aa r
smart	s m AA r T
smartest	s m AA r T aa s T
smartness	s m AA r T n ii s
smashed	s m ae sh T
smell	s m ex l
smelled	s m ex l D
smelling	s m ex l ii ng
smells	s m ex l z
smile	s m ay l
smiled	s m ay l D
smiles	s m ay l z
smiling	s m ay l ii ng
smill	s m ii l
smily	s m ii l II
smith	s m ii th
smoke	s m oo k
smoking	s m oo k ii ng
smoky	s m oo k II
smooth	s m UU d
smouldering	s m oo l D aa r ii ng
snack	s n ae k
snacks	s n ae k s
snails	s n ee l z
snake	s n ee k
snakes	s n ee k s
snap	s n ae p
snatched	s n ae c T
sneak	s n II k
sneck	s n ex k
sneeze	s n II z
sniff	s n ii f
sniffed	s n ii f T
sniffing	s n ii f ii ng
sniggins	s ii n j ii n z
snorkels	s n OO r k aa l z
snowball	s n oo b OO l
snowy	s n oo II
so	s oo
soak	s oo k
soap	s oo p
soap's	s oo p s
soaps	s oo p s
soapy	s oo p II
sob	s AA b
soccer	s AA k aa r
sochungi	s aa c aa ng g II
social	s oo sh aa l
socialisation	s oo s II aa l ii z ee sh aa n
socialize	s oo sh aa l ay z
socially	s oo sh aa l II
society	s aa s ay aa T II
socks	s AA k s
sod	s AA D
soft	s AA f T
soil	s oy l
solar	s oo l aa r
sold	s oo l D
solder	s AA D aa r
soldiers	s oo l j aa r z
solo	s oo l oo
solution	s aa l UU sh aa n
solutions	s aa l UU sh aa n z
solve	s AA l v
some	s aa m
somebody	s aa m b AA D II
someday	s aa m D ee
somehow	s aa m hh aw
someone	s aa m w aa n
something	s aa m th ii ng
something's	s aa m th ii ng z
somethings	s aa m th ii ng z
sometime	s aa m T ay m
sometimes	s aa m T ay m z
somewhere	s aa m w ex r
son	s aa n
song	s OO ng
songs	s OO ng z
sons	s aa n z
soon	s UU n
soothingly	s UU d ii ng l II
sorit	s OO r ii T
sorry	s AA r II
sort	s OO r T
sorted	s OO r T ii D
sorting	s OO r T ii ng
soul	s oo l
soulfully	s oo l f aa l II
souls	s oo l z
sound	s aw n D
sounds	s aw n D z
soup	s UU p
soups	s UU p s
source	s OO r s
sources	s OO r s aa z
south	s aw th
sow	s aw
sowed	s aw D
space	s p ee s
spaces	s p ee s aa z
spaghetti	s p aa g ex T II
spain	s p ee n
spans	s p ae n z
spare	s p ex r
sparkle	s p AA r k aa l
sparrow	s p ex r oo
sparrow's	s p ex r oo z
sparrows	s p ex r oo z
speak	s p II k
speaking	s p II k ii ng
special	s p ex sh aa l
specially	s p ex sh aa l II
species	s p II sh II z
specified	s p ex s aa f ay D
speck	s p ex k
spectacle	s p ex k T aa k aa l
speech	s p II c
speechless	s p II c l aa s
speed	s p II D
spelled	s p ex l D
spelling	s p ex l ii ng
spelt	s p ex l T
spend	s p ex n D
spent	s p ex n T
spice	s p ay s
spices	s p ay s aa z
spider	s p ay D aa r
spiders	s p ay D aa r z
spindly	s p ii n D l II
spines	s p ay n z
spins	s p ii n z
spirits	s p ii r aa T s
splash	s p l ae sh
splashed	s p l ae sh T
splashes	s p l ae sh aa z
splashing	s p l ae sh ii ng
splendid	s p l ex n D aa D
split	s p l ii T
spluttering	s p l aa T aa r ii ng
spoilt	s p oy l T
spoke	s p oo k
spoken	s p oo k aa n
spontaneous	s p AA n T ee n II aa s
sport	s p OO r T
sports	s p OO r T s
spot	s p AA T
spotlight	s p AA T l ay T
spots	s p AA T s
spotted	s p AA T aa D
spouse	s p aw s
sprang	s p r ae ng
spray	s p r ee
spread	s p r ex D
spreading	s p r ex D ii ng
spreed	s p r II D
sprout	s p r aw T
sprouted	s p r aw T aa D
square	s k w ex r
squeak	s k w II k
squeaked	s k w II k T
squeaks	s k w II k s
squeal	s k w II l
squirmed	s k w aa r m D
squirming	s k w aa r m ii ng
squirrel	s k w aa r aa l
squirrels	s k w aa r aa l z
squirt	s k w aa r T
squit	s k w ii T
sringeri	s k r ii n j aa r II
srinivas	s r II n ii v AA s
srinivas's	s r ii n ii v aa s
srishti	s r ii sh T II
stage	s T ee j
stain	s T ee n
stainers	s T ee n aa r z
staining	s T ee n ii ng
stains	s T ee n z
stairs	s T ex r z
stake	s T ee k
stalk	s T OO k
stand	s T ae n D
standard	s T ae n D aa r D
standing	s T ae n D ii ng
stang	s T ae ng
star	s T AA r
starch	s T AA r c
stare	s T ex r
stared	s T ex r D
starfish	s T AA r f ii sh
staring	s T ex r ii ng
stars	s T AA r z
start	s T AA r T
started	s T AA r T aa D
starter	s T AA r T aa r
starting	s T AA r T ii ng
startled	s T AA r T aa l D
starts	s T AA r T s
starving	s T AA r v ii ng
state	s T ee T
stated	s T ee T aa D
states	s T ee T s
station	s T ee sh aa n
stationery	s T ee sh aa n ex r II
stations	s T ee sh aa n z
stay	s T ee
stayed	s T ee D
staying	s T ee ii ng
stays	s T ee z
steady	s T ex D II
steal	s T II l
stealing	s T II l ii ng
steel	s T II l
steep	s T II p
steeps	s T II p s
steer	s T ii r
steered	s T ii r D
stem	s T ex m
step	s T ex p
stepped	s T ex p T
steps	s T ex p s
stew	s T UU
stick	s T ii k
sticks	s T ii k s
sticky	s T ii k II
stiff	s T ii f
still	s T ii l
sting	s T ii ng
stink	s T ii ng k
stir	s T aa r
stitch	s T ii c
stitched	s T ii c T
stock	s T AA k
stole	s T oo l
stolen	s T oo l aa n
stomach	s T aa m aa k
stone	s T oo n
stones	s T oo n z
stood	s T uu D
stool	s T UU l
stop	s T AA p
stopped	s T AA p T
stops	s T AA p s
storage	s T OO r aa j
store	s T OO r
storeroom	s T OO r r UU m
stores	s T OO r z
stories	s T OO r II z
storing	s T OO r ii ng
storm	s T OO r m
stormy	s T OO r m II
story	s T OO r II
stout	s T aw T
straight	s T r ee T
straightened	s T r ee T aa n D
strain	s T r ee n
straining	s T r ee n ii ng
strange	s T r ee n j
stranger	s T r ee n j aa r
strangers	s T r ee n j aa r z
streak	s T r II k
stream	s T r II m
street	s T r II T
strength	s T r ex ng k th
stretch	s T r ex c
stretched	s T r ex c T
stretches	s T r ex c aa z
stretching	s T r ex c ii ng
strick	s T r ii k
stricks	s T r ii k s
strict	s T r ii k T
stride	s T r ay D
strikes	s T r ay k s
striking	s T r ay k ii ng
string	s T r ii ng
strings	s T r ii ng z
strip	s T r ii p
stripe	s T r ay p
striped	s T r ay p T
stripes	s T r ay p s
strips	s T r ii p s
strong	s T r OO ng
stronger	s T r OO ng aa r
struck	s T r aa k
struggle	s T r aa g aa l
struggled	s T r aa g aa l D
struggling	s T r aa g aa l ii ng
strung	s T r aa ng
stuck	s T aa k
student	s T UU D aa n T
students	s T UU D aa n T s
studied	s T aa D II D
study	s T aa D II
studying	s T aa D II ii ng
stumbled	s T aa m b aa l D
stumps	s T aa m p s
stung	s T aa ng
style	s T ay l
sub	s aa b
subject	s aa b j ii k T
subjects	s aa b j ii k T s
subramaniam	s UU b r aa m aa n ee aa m II
succeed	s aa k s II D
success	s aa k s ex s
such	s aa c
suchanek	s aa k aa n ii k
suck	s aa k
sucks	s aa k s
sudden	s aa D aa n
suddenly	s aa D aa n l II
sudha	s UU D hh aa
sue	s UU
sued	s UU D
sufficient	s aa f ii sh aa n T
sugar	sh uu g aa r
sugarcane	sh uu g aa r k ee n
suggest	s aa g j ex s T
suggested	s aa g j ex s T aa D
suggesting	s aa g j ex s T ii ng
suicide	s UU aa s ay D
suicides	s UU aa s ay D z
suited	s UU T aa D
sullivan	s aa l aa v aa n
sum	s aa m
summary	s aa m aa r II
summer	s aa m aa r
summit	s aa m aa T
summoned	s aa m aa n D
sums	s aa m z
sun	s aa n
sun's	s aa n z
sunday	s aa n D ee
sunlight	s aa n l ay T
sunny	s aa n II
sunrise	s aa n r ay z
suns	s aa n z
sunset	s aa n s ex T
sunshine	s aa n sh ay n
super	s UU p aa r
supplied	s aa p l ay D
support	s aa p OO r T
suppose	s aa p oo z
sure	sh uu r
surely	sh uu r l II
suresh	s aa r ex sh
surprise	s aa r p r ay z
surprised	s aa r p r ay z D
surprising	s aa r p r ay z ii ng
surprisingly	s aa r p r ay z ii ng l II
surrounded	s aa r aw n D aa D
surveyants	s aa r v ee aa n T s
survive	s aa r v ay v
survived	s aa r v ay v D
survivor	s aa r v ay v aa r
suspicious	s aa s p ii sh aa s
swam	s w ae m
swamps	s w AA m p s
swan	s w AA n
swap	s w AA p
swapped	s w AA p T
sway	s w ee
swaying	s w ee ii ng
sweat	s w ex T
sweeped	s w II p T
sweet	s w II T
sweetly	s w II T l II
sweets	s w II T s
swell	s w ex l
swept	s w ex p T
swift	s w ii f T
swiftly	s w ii f T l II
swim	s w ii m
swimmers	s w ii m aa r z
swimmimg	s w ii m ii g
swimming	s w ii m ii ng
swims	s w ii m z
swimsuit	s w ii m s UU T
swing	s w ii ng
swinging	s w ii ng ii ng
swiping	s w ay p ii ng
swishing	s w ii sh ii ng
switch	s w ii c
switched	s w ii c T
swoop	s w UU p
swooped	s w UU p T
swung	s w aa ng
symbiosis	s ii m b ay oo s aa s
symbolizes	s ii m b aa l ay z aa z
system	s ii s T aa m
t	T II
table	T ee b aa l
tack	T ae k
tackle	T ae k aa l
taffy	T ae f II
tag	T ae g
tail	T ee l
tailor	T ee l aa r
tails	T ee l z
take	T ee k
taken	T ee k aa n
takes	T ee k s
taking	T ee k ii ng
talent	T ae l aa n T
talk	T OO k
talkative	T OO k aa T ii v
talked	T OO k T
talkers	T OO k aa r z
talking	T OO k ii ng
talks	T OO k s
tall	T OO l
tangle	T ae ng g aa l
tangled	T ae ng g aa l D
tank	T ae ng k
tap	T ae p
tapped	T ae p T
tare	T ex r
target	T AA r g aa T
targeted	T AA r g aa T ii D
targets	T AA r g aa T s
tasks	T ae s k s
taste	T ee s T
tasted	T ee s T aa D
tastes	T ee s T s
tasty	T ee s T II
taught	T OO T
tea	T II
teach	T II c
teacher	T II c aa r
teacher's	T II c aa r z
teachers	T II c aa r z
teaching	T II c ii ng
team	T II m
teams	T II m z
teamwork	T II m w aa r k
tear	T ex r
tears	T ex r z
tease	T II z
teases	T II z ii z
teasing	T II z ii ng
ted	T ex D
teenager	T II n ee j aa r
teeth	T II th
television	T ex l aa v ii jz aa n
tell	T ex l
telling	T ex l ii ng
tells	T ex l z
temper	T ex m p aa r
temperature	T ex m p r aa c aa r
tempt	T ex m p T
tempting	T ex m p T ii ng
ten	T ex n
tend	T ex n D
tennis	T ex n aa s
tense	T ex n s
tension	T ex n sh aa n
tent	T ex n T
tenth	T ex n th
term	T aa r m
termed	T aa r m D
termite	T aa r m ay T
terms	T aa r m z
terrace	T ex r aa s
terrible	T ex r aa b aa l
territory	T ex r ii T OO r II
terror	T ex r aa r
test	T ex s T
tested	T ex s T aa D
testing	T ex s T ii ng
tests	T ex s T s
tetanus	T ex T aa n aa s
tex	T ex k s
text	T ex k s T
textbooks	T ex k s T b uu k s
than	d ae n
thank	th ae ng k
thanked	th ae ng k T
thankful	th ae ng k f aa l
thanks	th ae ng k s
that	d ae T
that'll	d ae T aa l
that's	d ae T s
thats	th ae T s
the	d aa
theatrical	th II ae T r ii k aa l
their	d ex r
theirs	d ex r z
them	d ex m
theme	th II m
themself	d ex m s ex l f
themselve	th ex m s l ii v
themselves	d ex m s ex l v z
then	d ex n
there	d ex r
there's	d ex r z
thereafter	d ex r ae f T aa r
therefore	d ex r f OO r
these	d II z
they	d ee
they're	d ex r
they've	d ee v
thick	th ii k
thief	th II f
thieves	th II v z
thin	th ii n
thing	th ii ng
things	th ii ng z
think	th ii ng k
thinking	th ii ng k ii ng
thinks	th ii ng k s
third	th aa r D
thirst	th aa r s T
thirsty	th aa r s T II
thirteenth	th aa r T II n th
thirty	th aa r D II
this	d ii s
thorn	th OO r n
thorns	th OO r n z
those	d oo z
though	d oo
thought	th OO T
thoughts	th OO T s
thousand	th aw z aa n D
thousands	th aw z aa n D z
thraw	th r OO
threatened	th r ex T aa n D
threats	th r ex T s
three	th r II
threw	th r UU
thrill	th r ii l
thrilled	th r ii l D
thrilling	th r ii l ii ng
throat	th r oo T
thrones	th r oo n z
through	th r UU
throughout	th r UU aw T
throught	th r UU T
throw	th r oo
throwing	th r oo ii ng
thrown	th r oo n
thud	th aa D
thump	th aa m p
thumped	th aa m p T
thumping	th aa m p ii ng
thundercloud	th aa n D aa r k l aw D
thunderclouds	th aa n D aa r k l aa D z
thus	d aa s
tick	T ii k
ticket	T ii k aa T
tickle	T ii k aa l
tickled	T ii k aa l D
ticklish	T ii k aa l ii sh
tide	T ay D
tidier	T ii D II aa r
tie	T ay
tied	T ay D
ties	T ay z
tiff	T ii f
tiger	T ay g aa r
tigers	T ay g aa r z
tight	T ay T
tighter	T ay T aa r
tightly	T ay T l II
tile	T ay l
till	T ii l
tim	T ii m
time	T ay m
time's	T ay m z
timed	T ay m D
timeframe	T ay m f r ee m
times	T ay m z
timid	T ii m ii D
tin	T ii n
tina	T II n aa
tinder	T ii n D aa r
tiny	T ay n II
tip	T ii p
tips	T ii p s
tiptoed	T ii p T oo D
tiptoes	T ii p T oo z
tiptop	T ii p T AA p
tire	T ay aa r
tired	T ay aa r D
tires	T ay aa r z
title	T ay T aa l
to	T UU
toast	T oo s T
toasts	T oo s T s
today	T aa D ee
today's	T aa D ee z
toe	T oo
toes	T oo z
together	T aa g ex d aa r
togethers	T aa g ex d aa r z
toh	T oo
toilet	T oy l aa T
told	T oo l D
tolerant	T AA l aa r aa n T
tolerate	T AA l aa r ee T
toll	T oo l
tolls	T oo l z
tom	T AA m
tomato	T aa m ee T oo
tomatoes	T aa m ee T oo z
tomb	T UU m
tombs	T UU m z
tombstones	T UU m s T oo n z
tommy	T AA m II
tomorrow	T aa m AA r oo
tomorrow's	T aa m AA r oo z
toms	T AA m z
tone	T oo n
tones	T oo n z
tongue	T aa ng
tonight	T aa n ay T
too	T UU
tooi	T UU II
took	T uu k
tool	T UU l
tools	T UU l z
toon	T UU n
tooth	T UU th
top	T AA p
tops	T AA p s
torch	T OO r c
tore	T OO r
tortoise	T OO r T aa s
tortoises	T OO r T aa s aa z
toss	T OO s
tossed	T OO s T
total	T oo T aa l
totally	T oo T aa l II
touch	T aa c
touched	T aa c T
tough	T aa f
toughness	T aa f n aa s
tour	T uu r
toured	T uu r D
tourist	T uu r aa s T
toward	T aa w OO r D
towards	T aa w OO r D z
towel	T aw aa l
towers	T aw aa r z
town	T aw n
toy	T oy
toys	T oy z
trace	T r ee s
track	T r ae k
tracking	T r ae k ii ng
tracks	T r ae k s
trade	T r ee D
traders	T r ee D aa r z
traditional	T r aa D ii sh aa n aa l
trailer	T r ee l aa r
train	T r ee n
trained	T r ee n D
trainer	T r ee n aa r
trainers	T r ee n aa r z
training	T r ee n ii ng
trains	T r ee n z
transform	T r ae n s f OO r m
translated	T r ae n z l ee T aa D
transparent	T r ae n s p ex r aa n T
transportation	T r ae n s p aa r T ee sh aa n
transported	T r ae n s p OO r T aa D
trap	T r ae p
trapped	T r ae p T
traps	T r ae p s
travel	T r ae v aa l
traveled	T r ae v aa l D
traveling	T r ae v aa l ii ng
traversing	T r aa v aa r s ii ng
tray	T r ee
tread	T r ex D
treasure	T r ex jz aa r
treasures	T r ex jz aa r z
treat	T r II T
tree	T r II
treecutter	T r II k y UU T aa r
trees	T r II z
tremble	T r ex m b aa l
trembled	T r ex m b aa l D
trembles	T r ex m b aa l z
tremors	T r ex m aa r z
trending	T r ex n D ii ng
triangle	T r ay ae ng g aa l
tribal	T r ay b aa l
tribe	T r ay b
tribes	T r ay b z
trick	T r ii k
tricks	T r ii k s
tried	T r ay D
tries	T r ay z
trip	T r ii p
tripe	T r ay p
trips	T r ii p s
tropical	T r AA p ii k aa l
trouble	T r aa b aa l
troubles	T r aa b aa l z
troubling	T r aa b aa l ii ng
truck	T r aa k
trucked	T r aa k T
trucks	T r aa k s
trudge	T r aa j
trudged	T r aa j D
true	T r UU
trug	T r aa g
trugged	T r aa g D
trumpeted	T r aa m p aa T ii D
trunk	T r aa ng k
trunks	T r aa ng k s
trust	T r aa s T
truth	T r UU th
try	T r ay
trying	T r ay ii ng
tsunami	T s UU n AA m II
tubes	T UU b z
tuck	T aa k
tucked	T aa k T
tucket	T aa k ii T
tugged	T aa g D
tumbler	T aa m b l aa r
turbulent	T aa r b y aa l aa n T
turn	T aa r n
turned	T aa r n D
turning	T aa r n ii ng
turns	T aa r n z
turtle	T aa r T aa l
turtles	T aa r T aa l z
tusks	T aa s k s
tussles	T aa s aa l z
tweet	T w II T
twelve	T w ex l v
twenty	T w ex n T II
twig	T w ii g
twitter	T w ii T aa r
twittering	T w ii T aa r ii ng
two	T UU
type	T ay p
types	T ay p s
typhus	T ay f aa s
typical	T ii p aa k aa l
tyrants	T ay r aa n T s
tyre	T ay r
u	y UU
uff	aa f
uh	aa
umbrellas	aa m b r ex l aa z
umpires	aa m p ay aa r z
un	aa n
unaware	aa n aa w ex r
uncomfortable	aa n k aa m f aa r T aa b aa l
uncover	aa n k aa v aa r
under	aa n D aa r
underarm	aa n D aa r AA r m
underneath	aa n D aa r n II th
understand	aa n D aa r s T ae n D
understanding	aa n D aa r s T ae n D ii ng
understood	aa n D aa r s T uu D
undertook	aa n D aa r T uu k
underwater	aa n D aa r w OO T aa r
uneasy	aa n II z II
unfortunately	aa n f OO r c aa n aa T l II
unhurt	aa n hh aa r T
uniform	y UU n aa f OO r m
uninvited	aa n ii n v ay T ii D
unique	y UU n II k
unit	y UU n aa T
united	y UU n ay T aa D
unlike	aa n l ay k
unlocked	aa n l AA k T
unnoticed	aa n n oo T ii s T
unselfish	aa n s ex l f ii sh
unsold	aa n s oo l D
unstill	aa n s T ii l
unstuck	aa n s T aa k
until	aa n T ii l
untill	aa n T ii l
unto	aa n T UU
unusually	aa n y UU jz aa w aa l II
unwanted	aa n w OO n T ii D
unwavering	aa n w ee v aa r ii ng
up	aa p
upon	aa p AA n
uprooted	aa p r UU T ii D
upset	aa p s ex T
upstream	aa p s T r II m
urban	aa r b aa n
urged	aa r j D
urgent	aa r j aa n T
urmila	aa r m aa l aa
us	aa s
use	y UU s
used	y UU z D
useful	y UU s f aa l
useless	y UU s l aa s
uses	y UU s ii z
using	y UU z ii ng
uska	aa s k aa
usual	y UU jz aa w aa l
usually	y UU jz aa w aa l II
uttarkashi's	aa T aa r k ae b II z
utter	aa T aa r
v	v II
vacation	v ee k ee sh aa n
vaccination	v ae k s aa n ee sh aa n
vain	v ee n
valley	v ae l II
valuable	v ae l y aa b aa l
value	v ae l y UU
van	v ae n
vanished	v ae n ii sh T
varieties	v aa r ay aa T II z
variety	v aa r ay aa T II
various	v ex r II aa s
vase	v ee s
vast	v ae s T
vayu	v ee UU
veg	v ex g
vegetables	v ex j T aa b aa l z
veggies	v ex j II z
verandah	v ex r ae n D aa
verdict	v aa r D ii k T
version	v aa r jz aa n
very	v ex r II
vessel	v ex s aa l
vessels	v ex s aa l z
vet	v ex T
veterinary	v ex T r aa n ex r II
vibration	v ay b r ee sh aa n
vice	v ay s
view	v y UU
village	v ii l aa j
village's	v ii l ii j ii z
villager	v ii l ii j aa r
villager's	v ii l aa j aa r z
villagers	v ii l ii j aa r z
villagers'	v ii l ii j aa r z
villagers'	v ii l ii j aa r s
villages	v ii l aa j aa z
vine	v ay n
vines	v ay n z
visible	v ii z aa b aa l
vision	v ii jz aa n
visit	v ii z aa T
visited	v ii z aa T aa D
visiting	v ii z aa T ii ng
visitor	v ii z aa T aa r
visitors	v ii z aa T aa r z
visuals	v ii jz w aa l z
vital	v ay T aa l
vitamin	v ay T aa m aa n
voice	v oy s
volcanoes	v AA l k ee n oo z
vote	v oo T
voted	v oo T aa D
voter	v oo T aa r
vowed	v aw D
vowing	v aw ii ng
w	D aa b aa l y UU
wacks	w ae k s
wage	w ee j
wagged	w ae g D
waggle	w ae g aa l
wags	w ae g z
waistcoat	w ee s T k oo T
wait	w ee T
waited	w ee T aa D
waiter	w ee T aa r
waiters	w ee T aa r z
waiting	w ee T ii ng
wake	w ee k
wakes	w ee k s
walk	w OO k
walked	w OO k T
walking	w OO k ii ng
walks	w OO k s
wall	w OO l
walls	w OO l z
walnut	w OO l n aa T
walnuts	w OO l n aa T s
want	w AA n T
wanted	w AA n T aa D
wanting	w AA n T ii ng
wants	w AA n T s
war	w OO r
ward	w OO r D
ware	w ex r
warm	w OO r m
warmly	w OO r m l II
warn	w OO r n
warned	w OO r n D
warning	w OO r n ii ng
wartime	w OO r T ay m
